Kernel,Kernel_parameter,lambda,law_p,law_q,sigma_H0,sigma_H1,moyenne
gaussian,0.5,0.1,unif_-1_1,normal_1_1,0.896994879597367,1.3695858352880717,0.2902805289303282
gaussian,0.5,0.1,unif_-1_1,normal_0_2,0.9143961354144263,1.3596570212060763,0.22856795588043627
gaussian,0.5,0.1,unif_-1_1,unif_0_1,0.9608277323103345,0.7415890444161937,0.21575458690524577
gaussian,0.5,0.05,normal_0_1,normal_1_1,1.3597371861324203,1.9542723241550062,0.1622067845035079
gaussian,0.5,0.05,normal_0_1,normal_0_2,1.5708095388143184,1.6317627348192356,0.08271187211630592
gaussian,0.5,0.05,normal_0_1,unif_0_1,1.520650231451395,0.7539197357953459,0.26917306956754156
gaussian,0.5,0.05,unif_-1_1,normal_1_1,1.2193163627140682,2.0065888532905434,0.29833613978326673
gaussian,0.5,0.05,unif_-1_1,normal_0_2,1.2232070360684868,1.806795566260763,0.23974984176553926
gaussian,0.5,0.05,unif_-1_1,unif_0_1,1.2595315332656878,0.9549026254923902,0.22520159026646536
gaussian,0.5,0.01,normal_0_1,normal_1_1,3.0555499739850367,4.215262951896717,0.16084330298134467
gaussian,0.5,0.01,normal_0_1,normal_0_2,3.2339123536955166,3.6567519796396017,0.0883523824623322
gaussian,0.5,0.01,normal_0_1,unif_0_1,2.795288309126928,1.924024889515537,0.2674715356835864
gaussian,0.5,0.01,unif_-1_1,normal_1_1,2.9385271267754307,5.116152938335983,0.27679240685164336
gaussian,0.5,0.01,unif_-1_1,normal_0_2,3.0588013372477274,4.1322657023270235,0.22676979367992772
gaussian,0.5,0.01,unif_-1_1,unif_0_1,2.837528725130779,2.023021810203666,0.22463300416347076
gaussian,0.5,0.001,normal_0_1,normal_1_1,10.650481095394106,13.240625166015597,0.16420954147513214
gaussian,0.5,0.001,normal_0_1,normal_0_2,10.77648423583984,11.520168016464204,0.08786481196392358
gaussian,0.5,0.001,normal_0_1,unif_0_1,9.048450219340015,4.617978686556973,0.2732273740475561
gaussian,0.5,0.001,unif_-1_1,normal_1_1,8.522648304435545,15.838402511011017,0.28868726700335967
gaussian,0.5,0.001,unif_-1_1,normal_0_2,7.864839604161143,12.57939606268027,0.23120539045173896
gaussian,0.5,0.001,unif_-1_1,unif_0_1,8.853548582575682,6.147545739980266,0.22851192933342185
gaussian,1.0,1,normal_0_1,normal_1_1,0.38455670966548156,0.5187482611611913,0.18159901783568227
